'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'PROFILE","'99.88285065"
"'1","'LINE","'Taking On the Big Man","'99.82288361"
"'1","'LINE","'Morgan Tsvangirai has been attacked and arrested","'99.85488892"
"'1","'LINE","'for challenging Zimbabwe's despot Robert Mugabe.","'99.47535706"
"'1","'LINE","'Now he may be on the verge of unseating him","'99.93190002"
"'1","'LINE","'BY ALEX PERRY/CAPE TOWN","'99.30822754"
"'1","'LINE","'MORGAN TSVANGIRAI HAS BEEN THIS","'99.72431183"
"'1","'LINE","'independence and start focusing on our","'99.68678284"
"'1","'LINE","'The physical contrast between Tsvan-","'99.74328613"
"'1","'LINE","'close before. In 2002 he was widely","'99.74417877"
"'1","'LINE","'prosperity and freedom.""","'99.50830078"
"'1","'LINE","'girai and Mugabe emphasizes the gulf","'99.13593292"
"'1","'LINE","'thought to have won Zimbabwe's","'99.63744354"
"'1","'LINE","'It will be a long battle. Decades of","'99.62061310"
"'1","'LINE","'between them. Tsvangirai is ebullient","'99.46442413"
"'1","'LINE","'presidential election, beating the","'99.76841736"
"'1","'LINE","'misrule have turned Zimbabwe into","'99.48136902"
"'1","'LINE","'and casual, wears cowboy hats and has","'99.75571442"
"'1","'LINE","'country's tyrannical leader, Robert","'99.80790710"
"'1","'LINE","'an economic basket case. Inflation is","'99.81301880"
"'1","'LINE","'the burly figure of a man fond of food.","'99.78273773"
"'1","'LINE","'Mugabe. But according to most","'99.32945251"
"'1","'LINE","'100,000%, unemployment 80%, and up","'94.31152344"
"'1","'LINE","'Mugabe sports a tiny Hitler mustache","'99.63328552"
"'1","'LINE","'independent observers, Mugabe","'99.38988495"
"'1","'LINE","'to I million people (out of a population","'99.74320221"
"'1","'LINE","'and favors tailored suits but sometimes","'99.88778687"
"'1","'LINE","'had the results fixed, extending his","'99.90209198"
"'1","'LINE","'of I2 million) have fled to neighboring","'99.06336975"
"'1","'LINE","'wears shirts and baseball caps bearing","'99.74628448"
"'1","'LINE","'tenure as Zimbabwe's only ruler since","'99.65388489"
"'1","'LINE","'South Africa. ""We are very conscious","'99.23190308"
"'1","'LINE","'images of his own face. The two men ap-","'99.78853607"
"'1","'LINE","'independence in 1980. Now Tsvangirai","'99.45835876"
"'1","'LINE","'that it's very difficult to fight dictator-","'99.40301514"
"'1","'LINE","'peal to different sections of Zimbabwean","'99.41870117"
"'1","'LINE","'is trying to avoid being robbed again.","'99.73140717"
